Year,Authors,Title,Publication,Volume,Number,Pages,Publisher,DOIs,Relevant? Cody review,Notes,Found pdf?,Has supplementary materials? (yes/no),Is supplementary material in folder?,Supplementary material file name,Who is looking for this paper? (Initials)
2022,"Schlis-Elias, Mariah C.; Malaney, Jason L.; ",Island biogeography predicts skull gigantism and shape variation in meadow voles Microtus pennsylvanicus through ecological release and allometry,Oikos,,,,Nordic Society Oikos,10.1111/oik.08777,,,Yes,Yes,,,ERC
2022,"Yuan, Stella C.; Malekos, Eric; Cuellar-Gempeler, Catalina; Hawkins, Melissa T.R.; ",Population genetic analysis of the Humboldt's flying squirrel using high-throughput sequencing,Journal of Mammalogy,,,1-16,Oxford University Press,10.1093/jmammal/gyac002,,,Yes,Yes,,,ERC
2021,"Caccavo, Aldo; Weksler, Marcelo; ",Systematics of the rodent genus Neacomys Thomas (Cricetidae: Sigmodontinae): two new species and a discussion on carotid patterns,Journal of Mammalogy,,,,Oxford Journals,10.1093/jmammal/gyab037,,,Yes,Yes,,,ERC
2021,"Colella, Jocelyn P; Bates, John; Burneo, Santiago F; Camacho, M Alejandro; Carrion Bonilla, Carlos; Constable, Isabel; D'Elia, Guillermo; Dunnum, Jonathan L; Greiman, Stephen; Hoberg, Eric P; ","Leveraging natural history biorepositories as a global, decentralized, pathogen surveillance network",PLOS Pathogens,,,,PLOS,10.1371/journal.ppat.1009583,,,Yes,No,NA,NA,ERC
2021,"Fabre, Anne-Claire; Dowling, Carys; Portela Miguez, Roberto; Fernandez, Vincent; Noirault, Eve; Goswami, Anjali; ",Functional constraints during development limit jaw shape evolution in marsupials,Proceedings of the Royal Society B,288,1949,,Royal Society,10.1098/rspb.2021.0319,,,Yes,Yes,,,ERC
2021,"Fernandes Semedo, Thiago Borges; Ferreira Da Silva, Maria Nazareth; Carmignotto, Ana Paula; Vieira Rossi, Rogerio; ","Three new species of spiny mice, genus Neacomys Thomas, 1900 (Rodentia: Cricetidae), from Brazilian Amazonia",Systematics and Biodiversity,,,,Taylor and Francis,10.1080/14772000.2021.1980449,,,Yes,Yes,,,ERC
2021,"Shi, Jeff J; Westeen, Erin P; Rabosky, Daniel L; ",A test for rate coupling of trophic and cranial evolutionary dynamics in New World bats,Evolution,,,,Wiley,10.1111/evo.14188,,,Yes,Yes,,,ERC
2021,"Siciliano-Martina, Leila; Light, Jessica E.; Lawing, A. Michelle; ",Changes in canid cranial morphology induced by captivity and conservation implications,Biological Conservation,257,,,Elsevier,10.1016/j.biocon.2021.109143,,,Yes,Yes,,,ERC
2021,"Thompson, CW; Phelps, KL; Allard, MW; Cook, JA; Dunnum, JL; Ferguson, AW; Gelang, M; Khan, FAA; Paul, DL; Reeder, DM; ",Preserve a voucher specimen! The critical need for integrating natural history collections in infectious disease studies,mBio,12,,e02698-20,American Society of Microbiology,10.1128/mBio.02698-20,,,Yes,Yes,,,ERC
2021,"Timm, Robert M.; McLaren, Susan B.; Genoways, Hugh H.; ",Innovations that changed Mammalogy: fluid preparation of research specimens,Journal of Mammalogy,102,1,1-4,,10.1093/jmammal/gyab003,,,Yes,No,NA,NA,ERC
2021,"Voss, Robert S.; Giarla, Thomas C.; ","A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922,  and M. germana Thomas, 1904",American Museum Novitates,,3969,1-28,American Museum of Natural History,10.1206/3969.1,,,Yes,No,NA,NA,ERC
2021,"Voss, Robert S.; Giarla, Thomas C.; Jansa, Sharon A.; ",A revision of the didelphid marsupial genus Marmos Part 4. Species of the asltoni group (subgenus Micoureus),American Museum Novitates,,3983,,American Museum of Natural History,10.1206/3983.1,,,Yes,No,NA,NA,ERC
2021,"Walsh, Lisa L; Tucker, Priscilla K; ",Stable Isotope Values Suggest Opossums (Didelphis virginiana) at the Northern Edge of their Range do not Seasonally Molt,Northeastern Naturalist,28,1,1-8,BioOne,10.1656/045.028.0101,,,Yes,Yes,,,ERC
2021,"Wang, Bian; Zelditch, Miriam; Badgley, Catherine; ",Geometric morphometrics of mandibles for dietary differentiation of Bovidae (Mammalia: Artiodactyla),Northeastern Naturalist,,,,Oxford,10.1093/cz/zoab036,,,Yes,Yes,,,ERC
2021,"Yuan, Stella C.; Malekos, Eric; Hawkins, Melissa T.R.; ",Assessing genotyping errors in mammalian museum study skins using high-throughput genotyping-by-sequencing,Conservation Genetic Resources,,,,Springer,10.1007/s12686-021-01213-8,,,Yes,Yes,,,ERC
2020,"Auteri, Giorgia G.; Knowles, L. Lacey; ",Decimated little brown bats show potential for adaptive change,Scientific Reports,10,3023,,,10.1038/s41598-020-59797-4,,,Yes,Yes,,,ERC
2020,"Baiz, Marcella D; Tucker, Priscilla K; Mueller, Jacob L; Cortés-Ortiz, Liliana; ",X-linked signature of reproductive isolation in humans is mirrored in a howler monkey hybrid zone,Journal of Heredity,111,5,419-428,Oxford University Press US,10.1093/jhered/esaa021,,,Yes,Yes,,,ERC
2020,"Carnicer, Carnicer; Eisenlohr, Pedro V.; de Almeida Jacomo, Anah Tereza; Silveira, Leandro; Bastos Alves, Giselle; Torres, Natalia Mundim; de Melo, FAbiano Rodrigues; ",Running to the mountains: mammal species will find potentially suitable areas on the Andes,Biodiversity and Conservation,29,,1855-1869,,10.1007/s10531-020-01951-5,,,Yes,Yes,,,ERC
2020,"Castaneda-Rico, Susette; Leon-Paniagua, Livia; Edwards, Cody W.; Maldonaldo, Jesus E.; ",Ancient DNA from museum specimens and next generation sequencing help resolve the controversial evolutionary history of the critically endangered Puebla deer mouse,Frontiers in Ecology and Evolution,8,94,,,10.3389/fevo.2020.00094,,,Yes,Yes,,,ERC
2020,"Colella, J.P., Agwanda, B.R.; Khan, F.A.A.; Bates, J.; Carrión Bonilla, C.A.; de la Sancha, N.U.; Dunnum, J.L.; Ferguson, A.W.; Greiman, S. E.; Kiswele, P.K.; Lessa, E.P.; ","Building biorepository capacity internationally would stimulate more effective pathogen surveillance and mitigation: a response to Watsa et al. 2020 (electronic response to Watsa, M. et al. (2020) Rigorous wildlife disease surveillance.",Science,369,,145-147,,,,,Yes,No,NA,NA,ERC
2020,"Colella, Jocelyn P.; Agwanda, Bernard Risky; Anwarali Khan, Faisal Ali; Bates, John; Carrion Bonilla, Carlos A.; de la Sancha, Noe U.; Dunnum, Jonathan L.; Ferguson, Adam W.; Greiman, Stephen E.; Kiswele, Prince Kaleme; ",Build international biorepository capacity,Science,370,6518,773-774,,10.1126/science.abe4813,,,Yes,No,NA,NA,ERC
2020,"Cook, Joseph A; Arai, Satoru; Armién, Blas; Bates, John; Carrion Bonilla, Carlos A; de Souza Cortez, Maria Beatriz; Dunnum, Jonathan L; Ferguson, Adam W; Johnson, Karl M; Anwarali Khan, Faisal Ali; ",Integrating Biodiversity Infrastructure into Pathogen Discovery and Mitigation of Emerging Infectious Diseases,BioScience,70,7,531–534,Oxford,10.1093/biosci/biaa064,,,Yes,No,NA,NA,ERC
2020,"Escamilla Molgora, Juan M.; Sedda, Luigi; Atkinson, Peter M.; ",Biospytial: spatial graph-based computing for ecological Big Data,GigaScience,9,5,,,10.1093/gigascience/giaa039,,,Yes,Yes,,,ERC
2020,"Farooq, Harith; Anderson, Josue; Belluardo, Francesco; Nanvonamuquitxo, Christovao; Bennett, Dominic; Moat, Justin; Soares, Amadeu; Faurby, Soren; Antonelli, Alexandre; ",Wege: A New Metric for Ranking Locations for Biodiversity Conservation,bioRxiv,,,,,10.1101/2020.01.17.910299,,,Yes,No,NA,NA,ERC
2020,"Fernandes Semedo, Thiago Borges; Ferreira Da, Maria Nazareth; Gutierrez, Eliecer E.; Ferreira, Daniela Cristina; Da Silva Nunes, Mario; Mendez-Oliveira, Ana Cristina; Farias, Izeni Pires; Rossi, Rogerio Vieira; ","Systematics of neotropical spiny mice, genus Neacomys Thomas, 1900 (Rodentia: Cricetidae), from southeastern Amazonia, with descriptions of three new species",American Museum Novitates,3958,,1-43,,10.1111/ddi.13148,,,Yes,No,NA,NA,ERC
2020,"Hastings, Reuben A.; Rutterford, Louise A.; Freer, Jennifer J.; Collins, Rupert A.; Simpson, Stephen D.; Genner, Martin J.; ",Climate Change Drives Poleward Increases and Equatorward Declines in Marine Species,Current Biology,30,8,1572-1577,,10.1016/j.cub.2020.02.043,,,Yes,No,NA,NA,ERC
2020,"Jiménez, Beatriz Otero; Li, Kevin; Tucker, Priscilla K; ",Landscape drivers of connectivity for a forest rodent in a coffee agroecosystem,Landscape Ecology,35,5,1249-1261,Springer,10.1007/s10980-020-00999-6,,,Yes,Yes,,,ERC
2020,"Moudry, V.; Devillers, R.; ",Quality and usability challenges of global marine biodiversity databases: An example for marine mammal data,Ecological Informatics,56,,,,10.1016/j.ecoinf.2020.101051,,,Yes,Yes,,,ERC
2020,"Otero Jiménez, Beatriz; Li, Kevin; Tucker, Priscilla K; ",Landscape drivers of connectivity for a forest rodent in a coffee agroecosystem,Landscape Ecology,35,5,1249-1261,Springer Netherlands,10.1007/s10980-020-00999-6,,,Yes,Yes,,,ERC
2020,"Pasterski, M. Joseph; Bellagamba, Anthony; Chancellor, Stephanie; Cunje, Alister; Dodd, Emily; Gefeke, Kerri; Hsieh, Shannon; Schassburger, Alec; Smith, Alexis; Tucker, Wesley; ","Aquatic landscape change, extirpations, and introductions in the Chicago Region",Urban Ecosystems,,,,,10.1007/s11252-020-01001-6,,,Yes,Yes,,,ERC
2020,"Romero-Munoz, Alfredo; Benitez-Lopez, Ana; Zurell, Damaris; Baumann, Matthias; Camino, Micaela; Decarre, Julieta; Catillo del, Hugo; Giordano, Anthony J.; Gomez-Valencia, Bibiana; Levers, Christian; ",Increasing synergistic effects of habitat destruction and hunting on mammals over three decades in the Gran Chaco,Ecography,43,7,954-966,,10.1111/ecog.05053,,,Yes,Yes,,,ERC
2020,"Sanchez-Barradas, Alejandro; Villalobos, Fabricio; ",Species geographical co‐occurrence and the effect of Grinnellian and Eltonian niche partitioning: The case of a Neotropical felid assemblage,Ecological Research,35,2,,,10.1111/1440-1703.12070,,,Yes,Yes,,,ERC
2020,"Sanchez-Cuervo, Ana Maria; de Lima, Leticia Santos; Dallmeier, Francisco; Garate, Paola; Bravo, Adriana; Vanthomme, Hadrien; ",Twenty years of land cover change in the southeastern Peruvian Amazon: implications for biodiversity conservation,Regional Environmental Change,20,8,,,10.1007/s10113-020-01603-y,,,Yes,Yes,,,ERC
2020,"Smith, Jeffrey R.; Hendershot, J. Nicholas; Nova, Nicole; Daily, Gretchen C.; ",The biogeography of ecoregions: Descriptive power across regions and taxa,Journal of Biogeography,47,7,1413-1426,,10.1111/jbi.13871,,,Yes,No,NA,NA,ERC
2020,"Tague, Robert G.; ","Commonality in pelvic anatomy among three fossorial, scratch‑digging, mammalian species",Journal of Mammalian Evolution,27,,315‑327,,10.1007/s10914-019-09463-y,,,Yes,Yes,,,ERC
2020,"Tague, Robert G.; ","Rudimentary, “functionless” first metapodials of Canis latrans: variation and association in length with longer, functional metapodials",Evolution,74,,2465‑2482,,10.1111/evo.14100,,,Yes,Yes,,,ERC
2020,"Walsh, L. L.; Tucker, P. K.; ",Isotopic niche breadth of a generalist mesopredator increases with habitat heterogeneity across its range,Ecosphere,11,12,e03314,,10.1002/ecs2.3314,,,Yes,Yes,,,ERC
2020,"Zigler, Kirk S.; Niemiller, Matthew L.; Stephen, Charles D.R.; Ayala, Breanne N.; Milne, Marc A.; Gladstone, Nicholas S.; Engel, Annette S.; Jensen, John B.; Camp, Carlos D.; Ozier, James C.; ","BIODIVERSITY FROM CAVES AND OTHER SUBTERRANEAN HABITATS OF GEORGIA, USA",Journal fo Cave and Karst Studies,82,2,125-167,,10.4311/2019LSC0125,,,Yes,Yes,,,ERC
2019,"Alt, K. G.; Kochmann, J.; Klimpel, S.; Vunze, S.; ",Improving species distribution models of zoonotic marine parasites,Scientific Reports,9,9851,,,10.1038/s41598-019-46127-6,,,Yes,Yes,,,ERC
2019,"Apfelbeck, B.; Jakoby, C.; Hanusch, M.; Steffani, E.B.; Hauck, T.E.; Weisser, W.W. A; ",A Conceptual Framework for Choosing Target Species for Wildlife-Inclusive Urban Design,Sustainability,11,24,6972,,10.3390/su11246972,,,Yes,No,NA,NA,ERC
2019,"Bajaj, Shaurya; Amali, D. Geraldine Bessie; ",Species Environmental Niche Distribution Modeling for Panthera Tigris Tigris ‘Royal Bengal Tiger’ Using Machine Learning,"Emerging Research in Computing, Information, Communication, and Applications",882,,251-263,Springer,10.1007/978-981-13-5953-8_22,,,Yes,No,NA,NA,ERC
2019,"Beja, Pedro; Pinto, Pedro V.; Verissimo, Luis; Bersacola, Elena; Fabiano, Ezequiel; Palmeirim, Jorge M.; Monadjem, Ara; Monterroso, Pedro; Svensson, Magdalena S.; Taylor, Peter J.; ",The Mammals of Angola,,,,,,10.1007/978-3-030-03083-4_15,,,Yes,No,NA,NA,ERC
2019,"Bhattacharyya, S.; Mungi, N.A.; Kawamichi, T.; Rawat, G.S.; Adhikari, B.S.; Wilkening, J.L.; ",Insights from present distribution of an alpine mammal Royle’s pika (Ochotona roylei) to predict future climate change impacts in the Himalaya,Regional Environmental Change,,,,Springer,10.1007/s10113-019-01556-x,,,Yes,Yes,,,ERC
2019,"Chattopadhyay, B.; Garg, K.M.; Ray, R.; Rheindt, F.E.; ",Fluctuating fortunes: genomes and habitat reconstructions reveal global climate-mediated changes in bats' genetic diversity,Proceedings of the Royal Society B,286,911,,Royal Society,10.1098/rspb.2019.0304,,,Yes,Yes,,,ERC
2019,"Creley, Carly M.; Muchlinski, Alan; Schilling, Fraser; ",An Ecological Niche Model to Predict Range Expansion of the Eastern Gray Squirrel in California,Bulletin of the Southern California Academy of Sciences,118,1,58-70,,10.3160/0038-3872-118.1.58,,,Yes,No,NA,NA,ERC
2019,"Escribano, N.; Galicia, D.; Arino, Arturo H.; ",Completeness of Digital Accessible Knowledge (DAK) about terrestrial mammals in the Iberian Peninsula,PLoS ONE,14,3,e0213542,,10.1371/journal.pone.0213542,,,Yes,Yes,,,ERC
2019,"Feijo, A.; Patterson, B.D.; Cordeiro-Estrela, P.; ",Phenotypic variability and environmental tolerance shed light on nine-banded armadillo Nearctic invasion,Biological Invasions,,,,Springer,10.1007/s10530-019-02085-8,,,Yes,Yes,,,ERC
2019,"Figueira, Rui; Lages, Fernanda; ",Museum and Herbarium Collections for Biodiversity Research in Angola,Biodiversity of Angola,,,513-542,,10.1007/978-3-030-03083-4_19,,,Yes,No,NA,NA,ERC
2019,"Grattarola F, Botto G, da Rosa I, Gobel N, González E, González J, Hernández, D.; Laufer, G.; Maneyro, R.; Martínez-Lanfranco, J.; Naya, D.; Rodales, A.; Ziegler, L.; Pincheira-Donoso, D.; ",Biodiversidata: An Open-Access Biodiversity Database for Uruguay,Biodiversity Data Journal,7,e36226,,,10.3897/BDJ.7.e36226,,,Yes,Yes,Yes,oo_311274,ERC
2019,"Guevara, L.; Leon-Paniagua, L.; ",How to survive a glaciation: the challenge of estimating biologically realistic potential distributions under freezing conditions,Ecography,,,,Wiley,10.1111/ecog.04202,,,Yes,No,NA,NA,ERC
2019,"Higino, Gracielle T.; Vital, Marco V. C.; ",Mapping and understanding the digital biodiversity knowledge about vertebrates in the Atlantic Rainforest,EcoEvoRxiv,,,,,,,,Yes,No,NA,NA,ERC
2019,"Liu, Xuan; Blackburn, Tim M.; Song, Tianjian; Li, Xianping; Huang, Cong; Li, Yiming; ",Risks of Biological Invasion on the Belt and Road,Current Biology,29,3,499-505.e4,,10.1016/j.cub.2018.12.036,,,Yes,Yes,,,ERC
2019,"Lorenzo, C.; Boleanos-Citalan, J.; Navarrete-Gutierrez, D.; Perez-Lopez, J.A.; Guevara, L.; ",In search of shrews of Chiapas: analysis of their distribution and conservation,Therya,10,2,121-129,,10.12933/therya-19-717,,,Yes,No,NA,NA,ERC
2019,"Louppe, V.; Leroy, B.; Herrel, A.; Veron, G.; ","Current and future climatic regions favourable for a globally introduced wild carnivore, the raccoon Procyon lotor",Scientific Reports,9,9174,,,10.1038/s41598-019-45713-y,,,Yes,Yes,,,ERC
2019,"Mohammadi, S.; Ebrahimi, E.; Shahriari Moghadam, M.; Bosso, L.; ",Modelling current and future potential distributions of two desert jerboas under climate change in Iran,Ecological Informatics,52,,7-13,,10.1016/j.ecoinf.2019.04.003,,,Yes,Yes,,,ERC
2019,"Moscarella, Rosa A; Hoffman, Susan MG; Myers, Philip; Yahnke, Christopher J; Lundrigan, Barbara L; ",Genetic and demographic analysis of invasive Peromyscus leucopus in the northern Great Lakes region,Journal of Mammalogy,100,2,345-353,Oxford University Press US,10.1093/jmammal/gyz053,,,Yes,Yes,,,ERC
2019,"Noguera-Urbano, E.A.; Colmenares-Pinzon, J.E.; Villota, J.; Rodriguez-Bolanos, A.; Ramirez-Chaves, H.E.; ",The shrews (Cryptotis) of Colombia: What do we know about them?,Therya,10,2,131-147,,10.12933/therya-19-760,,,Yes,No,NA,NA,ERC
2019,"Ohashi, H.; Hasegawa, T.; Hirata, A.; Fujimori, S.; Takahashi, K.; Tsuyama, I.; Kakao, K.; Kominami, Y.; Tanaka, N.; Hijioka, Y.; ",Biodiversity can benefit from climate stabilization despite adverse side effects of land-based mitigation,Nature Communications,10,,,,10.1038/s41467-019-13241-y,,,Yes,Yes,,,ERC
2019,"Pappalardo, Paula; Morales-Castilla, Ignacio; Park, Andrew W.; Huang, Shan; Schmidt, John P.; Stephens, Patrick R.; ",Comparing methods for mapping global parasite diversity,Global Ecology and Biogeography,29,1,182-193,,10.1111/geb.13008,,,Yes,Yes,,,ERC
2019,"Phillips, Caleb D.; Dunnum, Jonathan L.; Dowler, Robert C.; Bradley, Lisa C.; Garner, Heath J.; MacDonald, Kathy A.; Lim, Burton K.; Revelez, Marcy A.; Campbell, Mariel L.; Lutz, Holly L.; ",Curatorial guidelines and standards of the American Society of Mammalogists for collections of genetic resources,Journal of Mammalogy,,,,Oxford University Press,10.1093/jmammal/gyz111,,,Yes,No,NA,NA,ERC
2019,"Rademaker, M.; Hogeweg, L.; Vos, R.; ",Modelling the niches of wild and domesticated Ungulate species using deep learning,bioRxiv,,,,,10.1101/744441,,,Yes,No,NA,NA,ERC
2019,"Rankin, Andrew M.; Schwartz, Rachel S.; Floyd, Chris H.; Galbreath, Kurt E.; ",Contrasting consequences of historical climate change for marmots at northern and temperate latitudes,Journal of Mammalogy,,,,Oxford University Press,10.1093/jmammal/gyz025,,,Yes,Yes,,,ERC
2019,"Ritter, Camila D.; Faurby, Soren; Bennett, Dominic J.; Naka, Luciano N.; Steege, Hans ter; Zizka, Alexander; Haenel, Quiterie; Nilsson, R. Henrik; Antonelli, Alexandre; ","The pitfalls of biodiversity proxies: Differences in richness patterns of birds, trees and understudied diversity across Amazonia",Scientific Reports,9,,,,10.1038/s41598-019-55490-3,,,Yes,Yes,,,ERC
2019,"Ruedas, Luis A; Silva, Sofia Marques; French, Johnnie H; Platt, Roy Nelson; Salazar-Bravo, Jorge; Mora, José M; Thompson, Cody W; ",Taxonomy of the Sylvilagus brasiliensis complex in Central and South America (Lagomorpha: Leporidae),Journal of Mammalogy,100,5,1599-1630,Oxford University Press US,10.1093/jmammal/gyz126,,,Yes,No,NA,NA,ERC
2019,"Sierra-Alcocer, R.; Stephens, C.; Barrios, J.; González‐Salazar, C.; Salazar Carrillo, J.; Romero Martínez, P.; ",SPECIES: Supporting big-data-driven research,Biodiversity Information Science and Standards,3,e36095,,,10.3897/biss.3.36095,,,Yes,No,NA,NA,ERC
2019,"Stephens, Christopher R.; Sierra-Alcocer, Raul; Gonzalez-Salazar, Constantino; Barrios, Juan M.; Salazar Carrillo, Juan C.; Ezquivelzeta, Everarado R.; del Callejo Canal, Enrique; ",SPECIES: A platform for the exploration of ecological data,Ecology and Evolution,9,4,1628-1653,Wiley,10.1002/ece3.4800,,,Yes,No,NA,NA,ERC
2019,"Stikkers, Cathelijne; ",The influence of certification and size of palm oil plantations on terrestrial biodiversity in Indonesia and Malaysia,,,,,"TU Delft Technology, Policy and Management",,,,Yes,No,NA,NA,ERC
2019,"Sullivan, Jack; Smith, Megan L.; Espindola, Anahi; Ruffley, Megan: Rankin, Andrew; ",Integrating life history traits into predictive phylogeography,Molecular Ecology,,,,Wiley,10.1111/mec.15029,,,Yes,No,NA,NA,ERC
2019,"Tanshi, I., Ogbeibu, A. E., & Bates, P. J. J.; ",Complementary bat (Mammalia: Chiroptera) survey techniques uncover two new country records for Nigeria,Journal of Threatened Taxa,11,14,14788-14801,,10.11609/jott.5294.11.14.14788-14801,,,Yes,No,NA,NA,ERC
2019,"Thompson, Cody W.; Stangl, Frederick B.; Baker, Robert J.; Bradley, Robert D.; ",Ecological niche modeling identifies environmental factors influencing hybridization in ground squirrels (genus Ictidomys),"Special Publications of the Museum, Texas Tech University",71,,1-911,,,,Citation only,No,No,NA,NA,ERC
2019,"Voss, Robert S.; Fleck, David W.; Jansa, Sharon A.; ",Mammalian diversity and matses ethnomammalogy in Amazonian Peru Part 3: Marsupials (Didelphimorphia),Bulletin of the American Museum of Natural History,432,,1-87,American Museum of Natural History,10.1206/0003-0090.432.1.1,,,Yes,No,NA,NA,ERC
2019,"Wilkening, Jennifer; Pearson-Prestera, Wendy; Mungi, Ninad A.; Bhattacharyya, Sabuj; ",Endangered species management and climate change: When habitat conservation becomes a moving target,Wildlife Society Bulletin,43,1,11-20,,10.1002/wsb.944,,,Yes,No,NA,NA,ERC
2019,"Williams, Jessica J.; Bates, Amanda E.; Newbold, Tim; ","Human‐dominated land uses favour species affiliated with more extreme climates, especially in the tropics",Ecography,,,,,10.1111/ecog.04806,,,Yes,No,NA,NA,ERC
2019,"Wolfer, Jan; Amson, Eli; Arnold, Patrick; Botton-Divet, Leo; Fabre, Anne-Claire; van Heteren, Anneke H.; Nyakatura, John A.; ",Femoral morphology of sciuromorph rodents in light of scaling and locomotor ecology,Journal of Anatomy,234,6,731-747,Wiley,10.1111/joa.12980,,,Yes,No,NA,NA,ERC
2019,"Wolfer, Jan; Arnold, Patrick; Nyakatura, John A.; ",Effects of scaling and locomotor ecology suggest a complex evolution of scapular morphology in sciuromorph rodents,Biological Journal of the Linnean Society,127,2,175-196,Oxford,10.1093/biolinnean/blz042,,,Yes,No,NA,NA,ERC
2019,"Xu, Feifei; He, Dan; Ning, Ruihong; Zeng, Bo; Thompson, Cody W.; Li, Ying; Wang, Dawei; Li, Yan; ",Genetic diversity of chemokine XCL1 and its receptor XCR1 in murine rodents,Developmental and Comparative Immunology,98,September 2019,80-88,,10.1016/j.dci.2019.04.008,,,Yes,Yes,,,ERC
2019,"Yusefi, Gholam Hosein; Faizolahi, Kaveh; Darvish, Jamshid; Safi, Kamran; Brito, José C.; ","The species diversity, distribution, and conservation status of the terrestrial mammals of Iran",Journal of Mammalogy,100,1,55-71,Oxford University Press,10.1093/jmammal/gyz002,,,Yes,No,NA,NA,ERC
2018,"Antonelli, Alexandre; Zizka, Alexander; Carvalho, Fernanda A.; Scharn, Ruud; Bacon, Christine D.; Silvestro, Daniele; Condamine, Fabien L.; ",Amazonia is the primary source of Neotropical biodiversity,Proceedings of the National Academy of Sciences of the United States of America,115,23,6034-6039,,10.1073/pnas.1713819115,,,Yes,Yes,,,ERC
2018,"Baiz, Marcella D.; Tucker, Priscilla K.; Corez-Ortiz, L; ",Multiple forms of selection shape reproductive isolation in a primate hybrid zone,Molecular Ecology,,,,Wiley,10.1111/mec.14966,,,Yes,No,NA,NA,ERC
2018,"Deka, Mark A.; Morshed, Niaz; ",Mapping Disease Transmission Risk of Nipah Virus in South and Southeast Asia,Tropical Medicine and Infectious Disease,3,2,57,,10.3390/tropicalmed3020057,,,Yes,No,NA,NA,ERC
2018,"Espinosa, Caroline C.; Trigo, Tatiane C.; Tirelli, Flávia P.; da Silva, Lucas G.; Eizirik, Eduardo; Queirolo, Diego; Mazim, Fábio D.; Peters, Felipe B.; Favarini, Marina O.; de Freitas, Thales R.O.; ",Geographic distribution modeling of the margay (Leopardus wiedii) and jaguarundi (Puma yagouaroundi): a comparative assessment,Journal of Mammalogy,99,1,252-262,Oxford University Press,10.1093/jmammal/gyx152,,,Yes,Yes,Yes,"SM The genus Mus as a model for evolutionary studiesEdited by J. Britton-Davidian and JB Searle. Phylogenetic relationships in the subgenus Mus (genus Mus, family Muridae, subfamily Murinae) ",ERC
2018,"Faurby, Soren; Araujo, Miguel B.; ",Anthropogenic range contractions bias species climate change forecasts,Nature Climate Change,8,,252-256,,10.1038/s41558-018-0089-x,,,Yes,Yes,,,ERC
2018,"Fekede, Regassa J.; van Gils, Hein; Huang, LiYa; Wang, XiaoLong; ",High probability areas for ASF infection in China along the Russian and Korean borders,Transboundary and Emerging Diseases,66,2,852-864,Wiley,10.1111/tbed.13094,,,Yes,No,NA,NA,ERC
2018,"Guevara, Lazaro; Sanchez-Cordero, Victor; ","New records of a critically endangered shrew from Mexican cloud forests (Soricidae, Cryptotis nelsoni) and prospects for future field research",Biodiversity Data Journal,6,e26667,,,10.3897/BDJ.6.e26667,,,Yes,Yes,,,ERC
2018,"Inman, Richard; ",Improving Species Distribution Models with Bias Correction and Geographically Weighted Regression: Tests of Virtual Species and Past and Present Distributions in North American Deserts,,,,,Arizona State University,,,,Yes,Yes,Yes,1-s2.0-S0277379118303962-mmc2,ERC
2018,"Inman, Richard; Franklin, Janet; Esque, Todd; Nussear, Kenneth; ",Spatial sampling bias in the Neotoma paleoecological archives affects species paleo-distribution models,Quaternary Science Reviews,198,,115-125,,10.1016/j.quascirev.2018.08.015,,,Yes,Yes,,,ERC
2018,"Johnson, Steig E.; Brown, Kerry A.; ",The Specialist Capuchin? Using Ecological Niche Models to Compare Niche Breadth in Mesoamerican Primates,"Primate Life Histories, Sex Roles, and Adaptability",,,311-329,,,,,Yes,No,NA,NA,ERC
2018,"Law, Chris J; Duran, Emma; Hung, Nancy; Richards, Ekai; Santillan, Isaac; Mehta, Rita S.; ",Effects of diet on cranial morphology and biting ability in musteloid mammals,Journal of Evolutionary Biology,,,,Wiley,10.1111/jeb.13385,,,Yes,Yes,,,ERC
2018,"Law, Chris J.; Mehta, Rita S.; ",Carnivory maintains cranial dimorphism between males and females: evidence for niche divergence in extant Musteloidea,Evolution,,,,Wiley,10.1111/evo.13514,,,Yes,No,NA,NA,ERC
2018,"Lubinksi, P.M.; Hale, T.A.; ",Identifying and siding the stylohyoid bone for North American artiodactyls,International Journal of Osteoarchaeology,28,,264-374,Wiley,10.1002/oa.2669,,,Yes,Yes,,,ERC
2018,"Moen, Ron; Swingen, Morgan; ",Historical northern long‐eared bat occurrence in Minnesota based on acoustic surveys,NRRI Technical Report,,,,,,,,Yes,No,NA,NA,ERC
2018,"Otero-Jiménez, Beatriz; Vandermeer, John H; Tucker, Priscilla K; ",Effect of coffee agriculture management on the population structure of a forest dwelling rodent (Heteromys desmarestianus goldmani),Conservation genetics,19,2,495-499,Springer Netherlands,10.1007/s10592-017-1016-9,,,Yes,Yes,,,ERC
2018,"Park, Daniel S.; Razafindratsima, Onja H.; ",Anthropogenic threats can have cascading homogenizing effects on the phylogenetic and functional diversity of tropical ecosystems,Ecography,42,1,148-161,Wiley,10.1111/ecog.03825,,,Yes,No,NA,NA,ERC
2018,"Pitts, Richard M.; Huynh, Howard M.; Thompson, Cody W.; Maranth, Karl F.; ",Additional Notes on December Breeding in the Plains Pocket Gopher (Geomys bursarius) in North Texas,Transactions of The Missouri Academy of Science,46,2018,67-68,Allen Press,10.30956/mas-12,,,Yes,No,NA,NA,ERC
